Vector Track Size:    15490

   16711,       10,    19993,     1428,     -915,    23015
   16820,       11,    20161,     1427,     -916,    23555
   16899,       12,    20298,     1428,     -915,    24094
   17094,       10,    20110,       80,      445,    23015
   17668,       11,    20276,       82,      444,    23555
   18358,       12,    20421,       81,      446,    24094
   18513,       10,    20208,      506,     1527,    23015
   20270,       11,    20372,      506,     1529,    23555
   22050,       12,    20522,      506,     1528,    24094
   22759,       10,    20471,    -1843,     1798,    23015
   25528,       11,    20646,    -1843,     1798,    23555
   25599,       12,    20795,    -1842,     1798,    24094
   29687,       10,    21215,      797,    -1658,    23015
   31344,       11,    21390,      797,    -1658,    23555
   32597,       12,    21541,      797,    -1658,    24094
   32675,       10,    22021,    -1784,     1403,    23015
   32929,       11,    22202,    -1783,     1402,    23555
   33811,       12,    22362,    -1783,     1402,    24094
   37300,       10,    22194,      338,     -909,    23015
   39553,       11,    22376,      337,     -908,    23555
   40774,       12,    22533,      337,     -909,    24094
   43103,       10,    24281,      358,      946,    23015
   43389,       11,    24491,      358,      946,    23555
   44898,       12,    24706,      357,      946,    24094
   45252,       11,    26592,      740,      828,    23555
   47150,       12,    26795,      742,      828,    24094
   47597,       10,    27169,      257,       10,    23015
   47634,       11,    27427,      257,       10,    23555
   48016,       12,    27635,      257,        9,    24094
   49667,       10,    30514,      327,     -957,    23015
   50198,       11,    30859,      328,     -956,    23555
   58243,       12,    31086,      328,     -957,    24094
   59920,       10,    30613,      800,     1391,    23015
   61740,       11,    30959,      800,     1391,    23555
   63736,       12,    31190,      800,     1392,    24094
   66957,       10,    35496,     1795,     -669,    23015
   70253,       11,    35936,     1795,     -668,    23555
   71286,       12,    36248,     1796,     -669,    24094
   72293,       10,    37373,    -1905,     1332,    23015
   73669,       11,    37811,    -1906,     1332,    23555
   75515,       12,    38155,    -1906,     1332,    24094
   77109,       10,    38897,     -424,      506,    23015
   78006,       11,    39345,     -423,      506,    23555
   80249,       10,    38985,      723,     -742,    23015
   80948,       11,    39438,      724,     -742,    23555
   80981,       12,    39769,      723,     -742,    24094
   81972,       10,    39276,     1972,     -895,    23015
   84492,       11,    39739,     1972,     -894,    23555
   84780,       10,    40290,     1825,    -1840,    23015
   85264,       11,    40737,     1824,    -1840,    23555
   88943,       12,    41101,     1825,    -1840,    24094
   89207,       10,    44668,    -1251,     1948,    23015
   90622,       11,    45168,    -1251,     1948,    23555
   92928,       12,    45592,    -1251,     1947,    24094
   97576,       10,    47311,      -93,     1872,    23015
   99979,       11,    47831,      -92,     1871,    23555
  100467,       12,    48324,      -92,     1872,    24094
  101701,       10,   236898,     1823,    -1122,    23015
  101966,       11,   239434,     1819,    -1124,    23555
  105880,       12,   241602,     1816,    -1126,    24094
  105923,       10,    51473,      529,      450,    23015
  105924,       11,    52063,      530,      454,    23555
  108634,       12,    52556,      532,      459,    24094
  109093,       10,    51847,    -1182,    -1190,    23015
