Vector Track Size:     3638

   36130,       10,    43107,     -177,      498,    34435
   65418,       11,    43452,     -184,      491,    34975
   67068,       10,    78107,      -38,      192,    34435
   82505,       11,    78842,      -37,      192,    34975
   82819,       10,    80030,      782,      514,    34435
   84162,       11,    80793,      782,      514,    34975
   93505,       10,    98145,     -614,     -701,    34435
  107569,       11,    99029,     -625,     -710,    34975
  131701,       10,    98561,      501,     -497,    34435
  140235,       11,    99442,      501,     -498,    34975
  141921,       10,   100155,     -594,     -692,    34435
  142972,       11,   101055,     -595,     -692,    34975
  160538,       10,   111365,     -273,     -929,    34435
  174156,       11,   112327,     -273,     -929,    34975
  183873,       10,   127873,      400,      448,    34435
  209329,       11,   128954,      401,      448,    34975
  231977,       10,   156706,     -854,      356,    34435
  233965,       11,   157954,     -854,      356,    34975
  235383,       10,   167058,      679,     -317,    34435
  259060,       11,   168394,      680,     -317,    34975
  284327,       10,   169041,      353,      755,    34435
  299713,       11,   170421,      352,      755,    34975
  300338,       10,   170275,      -45,      118,    34435
  317385,       11,   171664,      -44,      108,    34975
  320124,       10,   191341,     -121,     -455,    34435
  328162,       11,   192914,     -122,     -454,    34975
  343973,       10,   207509,     -866,     -296,    34435
  374768,       11,   209245,     -865,     -297,    34975
  376970,       10,   219250,      483,      619,    34435
  391511,       10,   249529,     -209,      361,    34435
  406746,       11,   251683,     -209,      361,    34975
  417486,       10,   276838,      483,     -130,    34435
  418510,       11,   279308,      482,     -130,    34975
  433594,       10,   279230,      732,      426,    34435
  436306,       11,   281667,      731,      426,    34975
  441568,       10,   280863,      933,     -153,    34435
  477342,       11,   283326,      936,     -155,    34975
  486581,       10,   309444,      399,     -344,    34435
  494402,       11,   312063,      398,     -343,    34975
  497045,       10,   339390,      717,     -808,    34435
  532744,       11,   342134,      717,     -809,    34975
  536551,       10,   357855,     -541,     -580,    34435
  556952,       11,   360820,     -541,     -581,    34975
  569358,       10,   358584,      625,      423,    34435
  589370,       11,    74932,      623,      422,    34975
  603463,       10,   379312,      237,     -560,    34435
  611693,       11,   382477,      237,     -561,    34975
  623852,       10,   382439,     -121,     -656,    34435
  666242,       11,   385589,     -121,     -656,    34975
  671555,       10,   392006,      413,      531,    34435
  672336,       11,   395194,      413,      530,    34975
  684950,       10,   410934,      438,     -138,    34435
  703423,       11,   414175,      438,     -138,    34975
  708534,       11,   451191,      328,      409,    34975
  709846,       10,   450183,       45,      908,    34435
  711749,       11,   453757,       45,      908,    34975
  724539,       10,   467393,     -295,     -411,    34435
  731209,       11,   471113,     -295,     -411,    34975
  745752,       10,   485576,     -562,     -486,    34435
  754437,       11,   489451,     -562,     -487,    34975
  774099,       10,   498165,      749,       71,    34435
  777434,       11,   502185,      750,       70,    34975
  779719,       10,   499408,     -162,     -582,    34435
  780545,       10,   517371,     -907,       74,    34435
  798572,       11,   521605,     -907,       74,    34975
  814791,       10,   520564,      875,       12,    34435
  828334,       11,   524848,      876,       13,    34975
  850416,       10,   526825,      323,      260,    34435
  855846,       11,   531162,      322,      260,    34975
  910036,       10,   569340,     -852,     -747,    34435
  936455,       11,   574233,     -852,     -748,    34975
  937617,       10,   580291,      502,     -845,    34435
  951800,       11,   585251,      504,     -845,    34975
  957503,       10,   589771,      -79,     -584,    34435
  974736,       10,   593114,     -967,      417,    34435
  978056,       11,   598143,     -968,      416,    34975
  999781,       10,   635694,     -195,     -532,    34435
 1012618,       11,   641101,     -195,     -532,    34975
 1024273,       10,   640228,      -46,      869,    34435
 1024467,       11,   645587,      -46,      868,    34975
 1028604,       10,   664761,      640,     -611,    34435
 1092134,       11,   670312,      639,     -612,    34975
 1113857,       10,   679665,      702,     -662,    34435
 1131480,       11,   685305,      702,     -662,    34975
 1139228,       10,   703416,      312,     -842,    34435
 1141466,       11,   709344,      312,     -842,    34975
 1156786,       10,   720177,      195,      344,    34435
 1157684,       11,   726154,      194,      345,    34975
 1180031,       10,   729886,     -369,     -375,    34435
  330790,       11,   735927,     -369,     -375,    34975
  429371,       10,   744423,      271,     -637,    34435
  517260,       11,   750551,      271,     -637,    34975
  613672,       10,   794596,     -247,     -921,    34435
  711887,       10,   800829,      -38,     -520,    34435
 1030304,       10,   801722,      392,      466,    34435
 1116820,       11,   808482,      392,      466,    34975
  155440,       10,   816876,      557,      108,    34435
  617234,       11,   823723,      556,      107,    34975
  686524,       10,   839033,      441,     -466,    34435
 1005528,       11,   845997,      442,     -466,    34975
  870526,       10,   844991,     -494,      210,    34435
  882950,       11,   852052,     -493,      211,    34975
  146306,       10,   846487,     -985,      749,    34435
  859948,       11,   853556,     -984,      749,    34975
  215447,       10,   848772,     -917,      461,    34435
  543144,       10,   864518,      -78,      294,    34435
  730920,       11,   871728,      -78,      294,    34975
 1053520,       10,   872430,      956,     -838,    34435
  298457,       11,   879745,      955,     -838,    34975
 1042669,       10,   889770,      442,     -219,    34435
 1169882,       11,   897236,      442,     -219,    34975
   55502,       10,   900166,     -460,      608,    34435
   82465,       11,   907601,     -459,      609,    34975
  484707,       10,   923496,      896,     -751,    34435
 1124891,       11,   931123,      897,     -752,    34975
     770,       10,   927333,     -952,       18,    34435
    1554,       11,   935045,     -952,       17,    34975
    1580,       10,   930000,      803,     -643,    34435
    3699,       11,   937769,      804,     -643,    34975
    3865,       10,   930923,     -458,      847,    34435
    3955,       11,   938714,     -459,      847,    34975
    5763,       10,   952165,     -403,     -338,    34435
    6277,       11,   960172,     -403,     -339,    34975
    6745,       10,   971457,      997,      674,    34435
    7404,       11,   979640,      996,      674,    34975
    7665,       10,   987607,     -494,     -665,    34435
    7793,       11,   995994,     -494,     -666,    34975
    7800,       10,  1013976,      741,      134,    34435
    8070,       11,  1022644,      741,      134,    34975
    9831,       10,  1020261,      607,      308,    34435
   11112,       11,  1029047,      607,      308,    34975
   11133,       10,  1085356,     -499,     -687,    34435
   12040,       11,  1094801,     -499,     -686,    34975
   12347,       10,  1116875,      833,      530,    34435
   13229,       11,  1126612,      834,      531,    34975
   14039,       10,  1118271,     -590,      397,    34435
   14095,       11,  1128002,     -590,      397,    34975
   15489,       10,  1134924,     -381,       26,    34435
   15552,       11,  1144765,     -380,       25,    34975
   17938,       10,  1141803,      765,     -896,    34435
   18073,       11,  1151626,      765,     -896,    34975
   18601,       10,  1162226,      955,     -438,    34435
   19233,       11,  1172122,      956,     -438,    34975
   19425,       10,  1166202,      -42,     -752,    34435
   20780,       11,  1176080,      -42,     -751,    34975
   21442,       11,  1202173,      305,      118,    34975
   21815,       10,  1207496,     -201,      814,    34435
   22161,       11,  1217540,     -201,      815,    34975
   22344,       10,  1221120,      388,     -903,    34435
   22918,       11,  1231214,      388,     -903,    34975
   23502,       11,  1231468,      135,     -489,    34975
   23842,       10,  1226358,     -250,     -309,    34435
   24049,       11,  1236419,     -251,     -309,    34975
   24204,       10,  1302405,      583,     -844,    34435
   24990,       11,  1313206,      583,     -844,    34975
   25034,       10,  1328582,      266,      -78,    34435
   25192,       11,  1339620,      265,      -79,    34975
   25202,       11,  1360849,     -685,     -260,    34975
   25369,       10,  1359091,      342,     -109,    34435
   25670,       11,  1370326,      342,     -110,    34975
   25798,       10,  1361866,     -283,     -834,    34435
   27071,       11,  1373116,     -283,     -833,    34975
   28707,       10,  1380010,      450,      665,    34435
   28918,       11,  1391289,      448,      665,    34975
   29622,       11,  1392323,     -986,     -231,    34975
   30067,       10,  1407553,      -12,     -239,    34435
   30526,       11,  1418949,      -13,     -239,    34975
   31225,       10,   392030,      672,      935,    34435
   31588,       11,   395217,      670,      934,    34975
   32234,       10,   508276,      587,     -177,    34435
   32416,       11,   512404,      586,     -178,    34975
   32682,       10,   611896,      994,     -669,    34435
   33152,       11,   617109,      993,     -670,    34975
   33191,       10,   726167,     -294,     -885,    34435
   34633,       11,   732132,     -295,     -885,    34975
   35386,       10,   841948,     -132,     -137,    34435
   36528,       11,   848954,     -131,     -137,    34975
   36617,       10,  1217982,      144,      811,    34435
   36861,       11,  1228030,      145,      810,    34975
   37130,       10,  1320479,      813,     -867,    34435
   37386,       11,  1331430,      813,     -867,    34975
   37657,       10,   185143,     -352,     -565,    34435
   38330,       11,   186653,     -353,     -565,    34975
   38636,       10,   736478,     -625,      661,    34435
   38740,       11,   742536,     -625,      662,    34975
   39755,       10,   818700,     -492,      295,    34435
   39891,       10,  1199068,      106,     -573,    34435
   40323,       11,  1209074,      105,     -574,    34975
   41877,       10,  1038144,      905,      678,    34435
   45227,       11,  1047071,      905,      679,    34975
   47513,       10,  1246117,     -134,      284,    34435
   47536,       11,  1256433,     -135,      288,    34975
   48512,       10,   174367,      775,     -112,    34435
   49266,       11,   175801,      774,     -113,    34975
   50687,       11,   629831,     -854,     -797,    34975
   50910,       10,   254804,      930,     -406,    34435
   51239,       11,   256974,      930,     -406,    34975
   52007,       10,   648236,      149,      823,    34435
   52464,       11,   653634,      148,      823,    34975
   54073,       11,   879344,     -110,      476,    34975
   54748,       10,  1256051,     -990,       88,    34435
   56651,       11,  1266440,     -990,       88,    34975
   56981,       10,   356373,      906,     -525,    34435
   57253,       11,   359293,      905,     -525,    34975
   58700,       11,  1253382,     -111,     -152,    34975
   60544,       10,  1395456,      845,      232,    34435
   60977,       11,  1406774,      845,      231,    34975
   61525,       10,    66113,     -840,     -447,    34435
   62668,       11,    66786,     -839,     -443,    34975
   62675,       10,    98095,      -26,     -448,    34435
   62899,       11,    98980,      -29,     -455,    34975
   63633,       10,   725510,      298,       -7,    34435
   63653,       11,   731477,      298,       -6,    34975
   63904,       10,  1341790,      879,     -631,    34435
   64779,       11,  1352894,      877,     -630,    34975
   65082,       10,      915,     -263,      446,    34435
   66244,       11,      906,     -263,      447,    34975
   66666,       10,     1848,     -761,     -186,    34435
   67002,       11,     1856,     -761,     -187,    34975
   67017,       10,     1875,      486,      512,    34435
   67909,       11,     1883,      486,      511,    34975
   67928,       10,     4377,     -526,      363,    34435
   68091,       11,     4398,     -526,      363,    34975
   68436,       10,     4562,      -55,      971,    34435
