Vector Track Size:     3412

   40392,       10,    47880,     -540,     -724,    45854
   45777,       11,    48122,     -541,     -725,    46395
   98728,       10,    54047,     -904,     -939,    45854
  187217,       11,    54374,     -903,     -939,    46395
  199425,       10,   116411,     -232,      687,    45854
  217116,       10,   220543,     -785,      218,    45854
  226240,       11,   222096,     -784,      218,    46395
  250705,       10,   234898,      250,     -104,    45854
  283855,       11,   236623,      249,     -104,    46395
  323621,       10,   255572,      -74,     -946,    45854
  342791,       11,   257450,      -73,     -945,    46395
  353157,       10,   266213,     -725,      943,    45854
  398061,       11,   268251,     -725,      944,    46395
  403855,       10,   295128,     -174,     -792,    45854
  417035,       11,   297230,     -173,     -791,    46395
  445495,       10,   333915,     -507,     -672,    45854
  450208,       11,   336340,     -507,     -672,    46395
  476435,       10,   380886,     -365,     -351,    45854
  526366,       11,   383673,     -365,     -350,    46395
  534377,       10,   403430,      -55,      507,    45854
  590532,       11,   406327,      -55,      507,    46395
  601140,       10,   415635,     -696,       28,    45854
  666862,       11,   418754,     -696,       27,    46395
  709259,       10,   468288,      226,      767,    45854
  712814,       11,   471854,      225,      766,    46395
  712839,       10,   475139,     -635,     -539,    45854
  732141,       11,   478767,     -634,     -538,    46395
  736803,       10,   490634,     -725,      458,    45854
  740603,       10,   524032,      321,      306,    45854
  762764,       11,   527950,      320,      306,    46395
  765818,       10,   529609,      266,     -570,    45854
  799114,       11,   533598,      266,     -576,    46395
  811754,       10,   560807,      140,      721,    45854
  835146,       11,   565094,      140,      721,    46395
  844885,       10,   619839,     -911,      841,    45854
  881039,       11,   624363,     -911,      842,    46395
  883407,       10,   629146,      389,      749,    45854
  964205,       11,   633744,      387,      749,    46395
  981748,       10,   695204,       86,     -277,    45854
  992342,       11,   700249,       86,     -276,    46395
 1026202,       10,   707744,     -777,     -819,    45854
 1064041,       11,   712930,     -777,     -818,    46395
 1090747,       10,   784751,      299,      982,    45854
 1098001,       11,   790595,      299,      982,    46395
 1106796,       11,   841248,      633,     -305,    46395
 1124271,       10,   839020,     -169,     -369,    45854
 1176857,       11,   845427,     -168,     -368,    46395
 1242631,       10,   839051,     -215,      856,    45854
 1294555,       11,   845458,     -214,      854,    46395
 1396595,       10,   861331,     -369,     -879,    45854
 1430585,       11,   867973,     -369,     -879,    46395
 1439504,       10,   866940,     -261,      -43,    45854
 1483872,       11,   873625,     -262,      -42,    46395
 1505558,       10,   871439,     -900,     -191,    45854
 1508145,       11,   878144,     -900,     -192,    46395
 1526189,       10,   897850,      768,       53,    45854
 1550071,       11,   904719,      768,       54,    46395
 1569702,       11,   908337,     -212,     -357,    46395
 1586908,       10,   940606,     -900,     -772,    45854
 1634440,       11,   947768,     -900,     -772,    46395
 1636940,       10,   955597,       50,     -163,    45854
 1652039,       11,   962694,       51,     -163,    46395
 1657290,       10,   983365,      581,      311,    45854
 1680172,       11,   990742,      581,      311,    46395
 1681620,       10,   994769,       45,      966,    45854
  543818,       11,  1002251,       47,      966,    46395
  902631,       10,  1042944,      340,     -167,    45854
 1162703,       11,  1050986,      340,     -164,    46395
 1284407,       10,  1039753,      333,     -324,    45854
 1689606,       11,  1047767,      334,     -325,    46395
 1195340,       10,  1135142,     -475,     -565,    45854
  493888,       11,  1143800,     -474,     -564,    46395
 1422034,       11,  1164448,      941,     -789,    46395
  152452,       10,  1168234,     -334,      883,    45854
  457097,       11,  1176960,     -334,      884,    46395
  984778,       10,  1207843,      227,      -80,    45854
  124638,       11,  1217067,      227,      -79,    46395
  126699,       10,  1252525,     -241,     -629,    45854
  872188,       11,  1262050,     -240,     -630,    46395
 1180455,       10,  1284407,     -422,     -471,    45854
 1176521,       11,  1294055,     -420,     -471,    46395
 1263467,       10,  1292951,      286,      381,    45854
 1178074,       11,  1302693,      286,      380,    46395
  650855,       10,  1303366,      273,     -572,    45854
  512952,       11,  1313207,      272,     -572,    46395
 1146009,       10,  1324121,      249,     -245,    45854
 1556519,       11,  1334145,      249,     -244,    46395
   43033,       10,  1386566,     -681,     -497,    45854
  472052,       11,  1396996,     -681,     -497,    46395
  642294,       10,  1464271,      348,     -105,    45854
  734693,       11,  1475226,      349,     -105,    46395
 1490725,       10,  1525476,      516,     -492,    45854
  264854,       11,  1536900,      515,     -493,    46395
  140259,       10,  1645290,     -225,      716,    45854
  783833,       11,  1657362,     -226,      717,    46395
 1251669,       10,  1685809,     -372,      871,    45854
  915089,       11,  1698285,     -371,      872,    46395
 1594757,       10,  1696299,     -908,     -384,    45854
  109494,       11,  1708803,     -908,     -384,    46395
  287571,       10,  1749034,       35,     -755,    45854
  116099,       11,  1762081,       35,     -755,    46395
  490711,       10,  1774864,     -998,      465,    45854
  146486,       11,  1787996,     -998,      465,    46395
  422434,       10,  1777909,     -824,      471,    45854
  483654,       11,  1791053,     -823,      471,    46395
  499309,       10,  1799157,     -870,     -860,    45854
  945394,       11,  1812437,     -871,     -861,    46395
 1129676,       10,  1827540,     -806,     -138,    45854
 1508660,       11,  1841122,     -806,     -140,    46395
 1471218,       10,  1850392,      763,     -547,    45854
  114638,       11,  1864120,      763,     -546,    46395
  234285,       10,  1870675,      675,     -276,    45854
   63989,       11,  1884621,      676,     -278,    46395
 1011502,       10,  1927067,     -200,     -204,    45854
    1051,       11,  1941412,     -201,     -205,    46395
    5426,       10,  1930012,      767,      938,    45854
    7383,       11,  1944407,      768,      939,    46395
    9205,       10,  1947716,     -198,      182,    45854
    9855,       11,  1962220,     -198,      181,    46395
   10680,       10,  1954056,     -251,     -795,    45854
   10870,       11,  1968635,     -251,     -795,    46395
   11285,       10,  1981435,     -103,     -647,    45854
   13969,       11,  1996091,     -103,     -648,    46395
   14454,       10,  1983236,      595,     -130,    45854
   16876,       11,  1997899,      595,     -130,    46395
   19708,       10,   635606,      997,     -531,    45854
   19803,       11,   640199,      996,     -530,    46395
   21972,       10,  1054128,     -380,      894,    45854
   27176,       11,  1062341,     -379,      895,    46395
   29448,       10,  1358646,      462,      335,    45854
   30366,       11,  1368935,      462,      336,    46395
   31684,       10,  1501270,     -473,      871,    45854
   32512,       11,  1512585,     -467,      874,    46395
   32748,       10,  1976643,     -537,     -651,    45854
   33215,       11,  1991291,     -536,     -651,    46395
   33898,       10,  1408347,     -575,      221,    45854
   33951,       11,  1418829,     -576,      222,    46395
   34168,       10,   581501,     -416,     -300,    45854
