    6241,        5
   11665,        8
   13010,        7
   17266,        6
   38285,        8
   39894,        7
   53972,        5
   54636,        8
   60885,        5
   68496,        5
   69394,        8
   82877,        5
   98131,        6
  100514,        5
  109238,        6
  127943,        5
  140679,        9
  143102,        5
  182718,        7
  217139,        5
  253330,        6
  254074,        5
  270286,        8
  292150,        5
  332767,        7
  349399,        6
  351252,        5
  353505,        9
  368627,        6
  370949,        9
  409317,        5
  429567,        5
  436334,        5
  445907,        7
  460393,        8
  467909,        5
  488229,        9
  494964,        7
  505710,        6
  541010,        7
  545023,        5
  565161,        5
  566029,        5
  580749,        9
  599875,        5
  609450,        9
  623231,        6
  641779,        9
  642082,        6
  645090,        5
  666986,        9
  675313,        9
  695224,        7
  699397,        7
  744444,        7
  769717,        9
  782889,        7
  790558,        5
   75463,        9
  709560,        7
  610013,        6
    6597,        5
  265538,        7
   32390,        5
   51631,        8
  111069,        7
   64170,        7
   79893,        6
  774710,        8
  197842,        7
  741966,        9
  271646,        5
  640906,        8
  313630,        8
  350808,        6
  356771,        9
  382953,        8
  393532,        6
  399195,        5
  415092,        9
   18651,        6
  457640,        9
  459397,        7
  470871,        7
  488115,        6
  513811,        8
  280421,        7
  564073,        6
  632746,        8
  619308,        8
  616508,        8
  766029,        9
  621733,        7
  716767,        9
  655646,        7
  664427,        9
  424021,        9
   11902,        5
   34966,        5
  714541,        6
  114216,        8
  710700,        7
  692782,        8
  336137,        8
  214203,        8
  249392,        6
  716104,        6
  312050,        9
  326233,        8
   75489,        6
  365284,        7
  546715,        6
  575825,        9
  630032,        7
  772165,        5
  825678,        8
   98900,        8
   98961,        6
  266621,        7
  473306,        7
  573607,        8
  777759,        6
  675344,        6
  569932,        9
  293567,        8
  496215,        6
  537127,        7
  571744,        8
  691767,        5
   67607,        8
  129866,        9
  391703,        8
  560664,        7
  678826,        5
  172573,        8
  596200,        8
  604279,        9
  283661,        9
  452417,        9
  575317,        7
  731301,        9
   15208,        5
  265215,        5
  288744,        5
  447598,        6
  511648,        5
  536936,        7
  537590,        5
  574904,        5
  584882,        5
  618599,        5
  625785,        7
  646124,        6
  673564,        8
  726882,        5
  794512,        5
