   84929,        9
   36377,        8
   39806,        6
   40291,        7
   45527,        6
   62468,        6
   70706,        5
   77827,        7
   78873,        5
   87440,        6
   96320,        8
  127325,        9
  135366,        5
  137349,        8
  137785,        5
  142775,        5
  151883,        5
  152074,        5
  155066,        5
  161369,        6
  202023,        5
  220910,        6
  227782,        7
  248514,        6
  295735,        9
  347406,        5
  356955,        5
  359202,        5
  388455,        8
  391207,        8
  398018,        5
  411685,        8
  418204,        6
  479027,        7
  496741,        5
  515321,        9
  543046,        9
  544393,        7
  461620,        7
    5777,        7
    7336,        9
   40394,        8
   28930,        9
   39033,        9
  280181,        7
   46666,        8
   55927,        8
   74946,        7
   20531,        9
   81889,        6
   88623,        6
  469352,        7
  156869,        9
  402566,        8
  114120,        7
  121289,        8
  127755,        7
  141285,        5
  503577,        6
  205377,        8
  163414,        5
  173574,        5
  187474,        5
  515701,        8
  202772,        9
  409862,        8
  513103,        7
  224025,        5
  245463,        6
  249188,        6
  255893,        5
  205858,        9
  274654,        7
  283763,        9
  165188,        5
  302962,        7
  312207,        7
  313482,        8
  331489,        6
  341919,        7
  346062,        6
  347923,        9
  350486,        8
  363496,        8
  368875,        9
  374675,        9
  388473,        7
  392140,        8
  394712,        6
  397573,        7
  432497,        7
  430050,        7
  434563,        9
  482592,        6
  475236,        8
  520818,        5
  163048,        7
   52305,        6
   99227,        5
  125017,        5
  201389,        7
  211422,        9
  105401,        9
  485730,        6
  257854,        5
  168383,        5
  401748,        7
  180277,        7
  438759,        6
  449548,        6
  481939,        7
  102135,        6
  188680,        6
  197134,        5
  249570,        6
  258569,        8
  288900,        7
  391962,        5
   36548,        6
   62005,        8
   72683,        8
  364006,        9
  107805,        9
  469299,        8
  487674,        7
  497554,        8
     739,        8
   93571,        8
  118630,        9
  284507,        9
  343945,        7
  353728,        6
  410937,        8
  461475,        7
  337838,        8
  527801,        9
     575,        7
    5733,        7
   56702,        5
   58142,        5
  101783,        7
  109363,        5
  129318,        8
  156264,        5
  165852,        6
  186946,        9
  194168,        6
  200860,        7
  232747,        5
  252615,        5
  292333,        9
  305641,        7
  337577,        5
  403584,        6
  405334,        5
  408356,        5
  446906,        8
  455922,        5
  461450,        6
  466540,        9
  468168,        5
  533347,        5
  534573,        6
